name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Tipo 00,Italian,4.9,-37.81352774,144.9619734,Italian,normal,"361 Little Bourke Street, CBD, Melbourne",$75.00 ,Tipo 00
+39 Pizzeria,"Pizza, Italian",4.6,-37.81349066,144.961845,Italian,normal,"362 Little Bourke Street, CBD, Melbourne",$50.00 ,39 Pizzeria
Osteria Ilaria,Italian,4.5,-37.81356615,144.9618923,Italian,normal,"367 Little Bourke Street, CBD, Melbourne",$70.00 ,Osteria Ilaria
Maccaroni Trattoria Italiana,Italian,4.4,-37.81600716,144.9659581,Italian,normal,"10-12, Manchester Lane, CBD, Melbourne",$45.00 ,Maccaroni Trattoria Italiana
DOC Pizza & Mozzarella Bar - Carlton,"Italian, Pizza",4.6,-37.79896208,144.968573,Italian,normal,"295 Drummond Street, Carlton, Melbourne",$35.00 ,DOC Pizza & Mozzarella Bar - Carlton
Tazio,"Italian, Pizza",4.4,-37.81530316,144.9711801,Italian,normal,"91 Flinders Lane, CBD, Melbourne",$45.00 ,Tazio
Il Solito Posto,Italian,4.6,-37.81492069,144.9702775,Italian,normal,"Basement, 113 Collins Street, CBD, Melbourne",$55.00 ,Il Solito Posto
Meatball & Wine Bar,Italian,4.3,-37.8156586,144.9700639,Italian,normal,"135 Flinders Lane, CBD, Melbourne",$40.00 ,Meatball & Wine Bar
Pellegrini's Espresso Bar,Italian,4.3,-37.81181904,144.9712444,Italian,normal,"66 Bourke Street, CBD, Melbourne",$30.00 ,Pellegrini's Espresso Bar
Universal Restaurant,"Italian, Modern Australian",4.4,-37.80387811,144.9662401,Italian,normal,"141 Lygon Street, Carlton, Melbourne",$35.00 ,Universal Restaurant
The Moat,Italian,4.5,-37.81026286,144.9652578,Italian,normal,"Basement, 176 Little Lonsdale Street, CBD, Melbourne",$50.00 ,The Moat
Il Bacaro Cucina e Bar,Italian,4.7,-37.81391896,144.9680127,Italian,normal,"168-170 Little Collins Street, CBD, Melbourne",$100.00 ,Il Bacaro Cucina e Bar
Vapiano,"Italian, Pizza",3.9,-37.81758679,144.9629316,Italian,normal,"334 Flinders Lane, CBD, Melbourne",$30.00 ,Vapiano
Kaprica,"Italian, Pizza, Coffee and Tea",4.5,-37.80324498,144.96282,Italian,normal,"19 Lincoln Square South, Carlton, Melbourne",$40.00 ,Kaprica
Ombra Salumi Bar,"Italian, Pizza",4.5,-37.81189876,144.9710326,Italian,normal,"76 Bourke Street, CBD, Melbourne",$60.00 ,Ombra Salumi Bar
Palermo,"Argentine, Italian, Spanish",4.1,-37.81381592,144.9610001,Italian,normal,"401 Little Bourke Street, CBD",$75.00 ,Palermo
Campari House,"Italian, Bar Food",3.9,-37.81402544,144.9614376,Italian,normal,"25 Hardware Lane, CBD, Melbourne",$55.00 ,Campari House
Scopri Italian Food & Wine,Italian,4.9,-37.79571828,144.9751149,Italian,normal,"191 Nicholson Street, Carlton, Melbourne",$90.00 ,Scopri Italian Food & Wine
Lello Pasta Bar,Italian,4.3,-37.81575634,144.969328,Italian,normal,"150 Flinders Lane, CBD, Melbourne",$60.00 ,Lello Pasta Bar
Gradi Crown,"Italian, Pizza",4.1,-37.82303284,144.9584594,Italian,normal,"Crown Melbourne, Ground Level, 8 Whiteman Street, Southbank, Melbourne",$75.00 ,Gradi Crown
La Spaghettata,"Italian, Seafood, Crepes, Parma",4.3,-37.80160067,144.9669995,Italian,normal,"238 Lygon Street, Carlton, Melbourne",$40.00 ,La Spaghettata
La Camera Southgate,"Italian, Pizza",4.2,-37.82008408,144.9666981,Italian,normal,"Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne",$47.50 ,La Camera Southgate
The Waiters Restaurant,Italian,4.2,-37.81213265,144.9723307,Italian,normal,"20 Meyers Place, CBD, Melbourne",$30.00 ,The Waiters Restaurant
Massi,Italian,4.1,-37.81638433,144.9599192,Italian,normal,"445 Little Collins Street, CBD, Melbourne",$50.00 ,Massi
